111037.39 1255115.75 2.38 
117016.29 1234222.50 2.34 
121788.15 1279109.00 2.13 
124752.01 1248465.38 2.21 
114777.11 1284512.25 2.20 
113740.98 1252363.50 2.37 
122865.55 1248525.00 2.19 
121476.70 1277022.00 2.17 
124752.01 1248465.38 2.21 
121788.15 1279109.00 2.13 
119914.46 1248525.00 2.21 
111791.14 1257674.50 2.32 
114777.11 1284512.25 2.20 
114196.60 1252835.12 2.31 
114818.95 1241915.38 2.30 
115843.90 1241331.75 2.29 
116836.12 1257160.75 2.26 
118846.51 1240542.62 2.32 
115882.66 1272132.88 2.22 
111348.84 1279887.50 2.24 
119590.24 1277081.62 2.15 
119527.29 1237039.25 2.33 
117804.93 1241051.50 2.27 
119590.24 1277081.62 2.15 
117016.29 1239304.25 2.33 
113740.98 1252363.50 2.37 
113740.98 1255115.75 2.33 
117016.29 1234222.50 2.34 
114052.43 1254450.50 2.31 
119914.46 1243443.25 2.24 
111037.39 1268018.38 2.30 
117480.70 1263911.38 2.21 
111791.14 1257674.50 2.32 
117804.93 1246133.25 2.26 
122554.10 1246438.00 2.24 
119548.57 1276757.62 2.18 
122554.10 1246438.00 2.24 
114777.11 1266727.75 2.26 
111479.70 1255587.38 2.36 
114508.05 1262808.62 2.26 
119914.46 1243443.25 2.24 
114777.11 1274730.25 2.23 
117480.70 1274730.25 2.20 
119278.80 1274994.50 2.19 
111348.84 1262284.50 2.27 
114065.21 1239304.25 2.36 
114508.05 1257674.50 2.28 
115882.66 1271343.75 2.24 
121476.70 1277022.00 2.17 
111037.39 1260197.50 2.32 
119527.29 1237039.25 2.33 
111037.39 1277800.38 2.28 
119590.24 1261046.75 2.22 
118846.51 1241331.75 2.25 
117480.70 1261646.00 2.23 
111037.39 1273542.50 2.29 
114777.11 1266727.75 2.26 
111479.70 1255587.38 2.36 
111791.14 1261237.50 2.29 
117804.93 1241051.50 2.27 
119278.80 1274994.50 2.19 
111348.84 1279887.50 2.24 
116886.65 1263897.88 2.24 
117480.70 1263911.38 2.21 
114056.00 1259913.00 2.30 
114777.11 1269648.50 2.25 
119590.24 1267588.88 2.20 
111348.84 1257202.75 2.35 
111037.39 1273542.50 2.29 
114052.43 1270105.38 2.24 
119590.24 1271999.88 2.18 
114065.21 1239304.25 2.36 
114052.43 1260765.75 2.27 
111037.39 1277800.38 2.28 
114508.05 1254922.25 2.29 
117480.70 1258829.75 2.25 
114065.21 1259412.25 2.27 
119603.02 1246438.00 2.25 
122865.55 1248525.00 2.19 
116886.65 1277081.62 2.19 
117480.70 1258829.75 2.25 
113859.84 1267819.25 2.27 
111348.84 1270105.38 2.25 
119603.02 1246438.00 2.25 
116886.65 1271999.88 2.22 
114065.21 1259412.25 2.27 
117480.70 1274730.25 2.20 
115882.66 1271343.75 2.24 
114508.05 1262808.62 2.26 
111348.84 1257202.75 2.35 
119548.57 1276757.62 2.18 
113859.84 1267819.25 2.27 
114508.05 1260056.38 2.26 
118846.51 1240542.62 2.32 
114508.05 1254922.25 2.29 
114777.11 1269648.50 2.25 
111348.84 1262284.50 2.27 
119590.24 1263897.88 2.21 
115882.66 1272132.88 2.22 
